r1083978.fit is not a target (BIAS)
r1083979.fit is not a target (BIAS)
r1083980.fit is not a target (BIAS)
r1083981.fit is not a target (BIAS)
r1083982.fit is not a target (BIAS)
r1083983.fit is not a target (BIAS)
r1083984.fit is not a target (BIAS)
r1083985.fit is not a target (BIAS)
r1083986.fit is not a target (BIAS)
r1083987.fit is not a target (BIAS)
r1083988.fit is not a target (BIAS)
r1083989.fit is not a target (BIAS)
r1083990.fit is not a target (BIAS)
r1083991.fit is not a target (BIAS)
r1083992.fit is not a target (BIAS)
r1083993.fit is not a target (BIAS)
r1083994.fit is not a target (BIAS)
r1083995.fit is not a target (BIAS)
r1083996.fit is not a target (BIAS)
r1083997.fit is not a target (BIAS)
r1083998.fit is not a target (BIAS)
r1083999.fit is not a target (BIAS)
r1084000.fit is not a target (BIAS)
r1084001.fit is not a target (BIAS)
r1084002.fit is not a target (BIAS)
r1084003.fit is not a target (BIAS)
r1084004.fit is not a target (BIAS)
r1084005.fit is not a target (BIAS)
r1084006.fit is not a target (BIAS)
r1084007.fit is not a target (FLAT)
r1084008.fit is not a target (FLAT)
r1084009.fit is not a target (FLAT)
r1084010.fit is not a target (FLAT)
r1084011.fit is not a target (FLAT)
r1084012.fit is not a target (FLAT)
r1084013.fit is not a target (FLAT)
r1084014.fit is not a target (FLAT)
r1084015.fit is not a target (FLAT)
r1084016.fit is not a target (FLAT)
r1084017.fit is not a target (FLAT)
r1084018.fit is not a target (FLAT)
r1084019.fit is not a target (FLAT)
r1084020.fit is not a target (FOCUS)
r1084021.fit  4.00  1.32 0.103   914.5 from 590 sources of 2009TL4B
r1084022.fit  4.23  1.40 0.099   904.6 from 516 sources of 2009TL4B
r1084023.fit  4.72  1.56 0.125   903.1 from 291 sources of 2009TL4B
r1084024.fit  4.01  1.32 0.102   890.9 from 561 sources of 2009TL4B
r1084025.fit  4.38  1.45 0.102   888.2 from 491 sources of 2009TL4B
r1084026.fit  4.86  1.60 0.125   881.8 from 273 sources of 2009TL4B
r1084027.fit  4.47  1.48 0.120   888.6 from 338 sources of 2009TL4B
r1084028.fit  4.51  1.49 0.114   889.3 from 403 sources of 2009TL4B
r1084029.fit  5.16  1.70 0.117   840.7 from 1155 sources of 2011WE44B
r1084030.fit  4.68  1.54 0.134   831.0 from 516 sources of 2011WE44B
r1084031.fit  5.44  1.80 0.118   745.0 from 1055 sources of 2011WE44B
r1084032.fit  6.45  2.13 0.133   971.1 from 778 sources of 2011WE44B
r1084033.fit  5.54  1.83 0.136   806.3 from 352 sources of 2011WE44B
r1084034.fit  5.17  1.71 0.120   795.2 from  92 sources of 2011WE44B
r1084035.fit  4.70  1.55 0.129   779.7 from 653 sources of 2011WE44B
r1084036.fit  4.86  1.60 0.099   776.9 from 1447 sources of 2011WE44B
r1084037.fit  5.03  1.66 0.085   829.6 from 265 sources of 2002CV46B
r1084038.fit  5.56  1.83 0.050   731.4 from 260 sources of 2002CV46B
r1084039.fit  5.36  1.77 0.036   716.8 from 269 sources of 2002CV46B
r1084040.fit  4.91  1.62 0.099   791.9 from 257 sources of 2002CV46B
r1084041.fit  4.96  1.64 0.087   803.7 from 277 sources of 2002CV46B
r1084042.fit  5.04  1.66 0.052   804.1 from 280 sources of 2002CV46B
r1084043.fit  5.49  1.81 0.070   699.3 from 263 sources of 2002CV46B
r1084044.fit  5.63  1.86 0.073   683.1 from 261 sources of 2002CV46B
r1084045.fit  3.91  1.29 0.109    30.0 from  49 sources of SA112-250 r
r1084046.fit  5.01  1.65 0.088    32.0 from  12 sources of SA112-250 U
r1084047.fit  4.28  1.41 0.079    30.0 from  27 sources of SA112-250 g
r1084048.fit  4.16  1.37 0.101   112.9 from 496 sources of G24-9 r
r1084049.fit  5.74  1.89 0.115    62.8 from  52 sources of G24-9 U
r1084050.fit  4.88  1.61 0.097   109.9 from 366 sources of G24-9 g
r1084051.fit  4.07  1.34 0.041    37.6 from  79 sources of WOLF1346 r
r1084052.fit  6.46  2.13 0.138    81.1 from   4 sources of WOLF1346 U
r1084053.fit  3.68  1.21 0.057    36.1 from  61 sources of WOLF1346 g
r1084054.fit  4.37  1.44 0.095   138.7 from 720 sources of uvex_6301 r
r1084055.fit  5.34  1.76 0.118    89.1 from  59 sources of uvex_6301 U
r1084056.fit  4.24  1.40 0.087   110.0 from 461 sources of uvex_6301 g
r1084057.fit  4.06  1.34 0.098   135.9 from 812 sources of uvex_5523 r
r1084058.fit  5.97  1.97 0.117    86.4 from  90 sources of uvex_5523 U
r1084059.fit  4.46  1.47 0.090   105.0 from 444 sources of uvex_5523 g
r1084060.fit  3.62  1.19 0.103   138.2 from 825 sources of uvex_5523o r
r1084061.fit  5.04  1.66 0.096    84.3 from 117 sources of uvex_5523o U
r1084062.fit  4.04  1.33 0.085   104.7 from 502 sources of uvex_5523o g
r1084063.fit  3.55  1.17 0.085   159.7 from 1234 sources of uvex_5525 r
r1084064.fit  5.47  1.81 0.098    84.1 from 106 sources of uvex_5525 U
r1084065.fit  3.82  1.26 0.102   109.1 from 525 sources of uvex_5525 g
r1084066.fit  3.88  1.28 0.079   138.9 from 512 sources of uvex_5526 r
r1084067.fit  5.57  1.84 0.077    90.9 from  44 sources of uvex_5526 U
r1084068.fit  4.54  1.50 0.062   112.1 from 217 sources of uvex_5526 g
r1084069.fit  4.63  1.53 0.085   164.0 from 405 sources of uvex_5526o r
r1084070.fit  5.45  1.80 0.071    91.7 from  53 sources of uvex_5526o U
r1084071.fit  4.38  1.45 0.050   107.6 from 244 sources of uvex_5526o g
r1084072.fit  4.25  1.40 0.088   151.8 from 779 sources of uvex_5527 r
r1084073.fit  5.43  1.79 0.091    89.9 from  90 sources of uvex_5527 U
r1084074.fit  4.72  1.56 0.069   104.3 from 463 sources of uvex_5527 g
r1084075.fit  4.37  1.44 0.082   131.4 from 400 sources of uvex_5534 r
r1084076.fit  6.24  2.06 0.071    86.8 from  39 sources of uvex_5534 U
r1084077.fit  5.62  1.85 0.046    96.8 from 151 sources of uvex_5534 g
r1084078.fit  5.01  1.65 0.072   143.8 from 372 sources of uvex_5534o r
r1084079.fit  6.32  2.09 0.063    87.7 from  44 sources of uvex_5534o U
r1084080.fit  5.18  1.71 0.066   105.0 from 156 sources of uvex_5534o g
r1084081.fit  4.94  1.63 0.061   154.5 from 358 sources of uvex_5538 r
r1084082.fit  5.29  1.75 0.057    87.3 from  47 sources of uvex_5538 U
r1084083.fit  4.37  1.44 0.051   104.5 from 243 sources of uvex_5538 g
r1084084.fit  4.00  1.32 0.055   140.3 from 532 sources of uvex_5538o r
r1084085.fit  5.96  1.97 0.050    85.4 from  47 sources of uvex_5538o U
r1084086.fit  5.74  1.89 0.051   106.6 from 180 sources of uvex_5538o g
r1084087.fit  4.64  1.53 0.049   144.2 from 523 sources of uvex_5553 r
