r1172496.fit is not a target (BIAS)
r1172497.fit is not a target (BIAS)
r1172498.fit is not a target (BIAS)
r1172499.fit is not a target (FLAT)
r1172500.fit is not a target (FLAT)
r1172501.fit is not a target (FLAT)
r1172502.fit is not a target (FLAT)
r1172503.fit is not a target (FLAT)
r1172504.fit is not a target (FLAT)
r1172505.fit is not a target (FLAT)
r1172506.fit is not a target (FLAT)
r1172507.fit is not a target (FLAT)
r1172508.fit is not a target (FLAT)
r1172509.fit is not a target (FLAT)
r1172510.fit is not a target (FLAT)
r1172511.fit is not a target (FLAT)
r1172512.fit is not a target (FLAT)
r1172513.fit is not a target (FLAT)
r1172514.fit is not a target (FLAT)
r1172515.fit is not a target (FLAT)
r1172516.fit is not a target (FLAT)
r1172517.fit is not a target (FLAT)
r1172518.fit is not a target (FLAT)
r1172519.fit is not a target (FLAT)
r1172520.fit is not a target (FLAT)
r1172521.fit is not a target (FLAT)
r1172522.fit is not a target (FLAT)
r1172523.fit is not a target (FLAT)
r1172524.fit is not a target (FLAT)
r1172525.fit is not a target (FLAT)
r1172526.fit is not a target (FLAT)
r1172527.fit is not a target (FLAT)
r1172528.fit is not a target (FLAT)
r1172529.fit is not a target (FOCUS)
r1172530.fit is not a target (FOCUS)
r1172531.fit  3.66  1.21 0.101   441.3 from 457 sources of 2008ON
r1172532.fit  3.95  1.30 0.125   407.6 from 322 sources of 2008ON
r1172533.fit  3.84  1.27 0.135   393.6 from 207 sources of 2008ON
r1172534.fit  3.29  1.09 0.100   369.9 from 530 sources of 2008ON
r1172535.fit  3.64  1.20 0.128   349.1 from 195 sources of 2008ON
r1172536.fit  3.37  1.11 0.128   388.1 from 216 sources of 2008ON
r1172537.fit  3.40  1.12 0.133   401.4 from 269 sources of 2008ON
r1172538.fit  3.41  1.13 0.135   382.7 from  90 sources of 2008ON
r1172539.fit  3.41  1.13 0.125   316.9 from 466 sources of 2008ON
r1172540.fit  3.65  1.20 0.110   391.5 from 471 sources of 2008ON
r1172541.fit  3.79  1.25 0.078   303.1 from 463 sources of 2008ON
r1172542.fit  3.71  1.22 0.107   383.3 from 464 sources of 2008ON
r1172543.fit  3.56  1.17 0.104   381.6 from 483 sources of 2008ON
r1172544.fit  4.09  1.35 0.125   381.0 from 384 sources of 2008ON
r1172545.fit  4.15  1.37 0.128   381.5 from 275 sources of 2008ON
r1172546.fit  4.63  1.53 0.050   424.3 from  81 sources of 2002GA
r1172547.fit  4.64  1.53 0.068   421.5 from  82 sources of 2002GA
r1172548.fit  4.74  1.56 0.076   419.5 from  72 sources of 2002GA
r1172549.fit  4.31  1.42 0.040   417.1 from  84 sources of 2002GA
r1172550.fit  4.43  1.46 0.061   415.8 from  83 sources of 2002GA
r1172551.fit  4.56  1.50 0.030   412.7 from  81 sources of 2002GA
r1172552.fit  4.55  1.50 0.033   411.0 from  81 sources of 2002GA
r1172553.fit  4.35  1.44 0.049   414.3 from  85 sources of 2002GA
r1172554.fit  4.51  1.49 0.094   413.3 from  82 sources of 2002GA
r1172555.fit  4.48  1.48 0.073   417.4 from  80 sources of 2002GA
r1172556.fit  4.24  1.40 0.050   178.0 from  82 sources of 2002GA
r1172557.fit  4.13  1.36 0.047   408.5 from  87 sources of 2002GA
r1172558.fit  4.24  1.40 0.059   408.3 from  88 sources of 2002GA
r1172559.fit  3.84  1.27 0.070   143.5 from  99 sources of 2002GA
r1172560.fit  5.06  1.67 0.105   404.4 from  72 sources of 2002GA
r1172561.fit  5.02  1.66 0.125    74.7 from  18 sources of ST_L92 Ha
r1172562.fit  4.20  1.39 0.031   135.5 from  34 sources of ST_L92 r
r1172563.fit  3.07  1.01 0.033    87.7 from  27 sources of ST_L92 i
r1172564.fit  4.62  1.52 0.100    89.1 from   8 sources of ST_L95 Ha
r1172565.fit  4.04  1.33 0.087   118.8 from  57 sources of ST_L95 r
r1172566.fit  3.96  1.31 0.060   102.7 from  44 sources of ST_L95 i
r1172567.fit is not a target (BIAS)
r1172568.fit  3.62  1.19 0.094    75.5 from  37 sources of SA95-271 r
r1172569.fit  4.43  1.46 0.067    84.9 from  21 sources of SA95-271 U
r1172570.fit  3.92  1.29 0.079    73.1 from  37 sources of SA95-271 g
r1172571.fit  4.35  1.44 0.102   165.0 from 494 sources of uvex_3872 r
r1172572.fit  5.88  1.94 0.125    49.0 from  76 sources of uvex_3872 U
r1172573.fit  5.25  1.73 0.113    71.5 from 321 sources of uvex_3872 g
r1172574.fit  3.99  1.32 0.127    50.1 from  55 sources of intphas_2460o Ha
r1172575.fit  3.88  1.28 0.116   111.6 from 379 sources of intphas_2460o r
r1172576.fit  3.77  1.24 0.111    90.6 from 397 sources of intphas_2460o i
r1172577.fit  3.86  1.27 0.120    51.9 from 114 sources of intphas_2472o Ha
r1172578.fit  3.79  1.25 0.102   124.3 from 434 sources of intphas_2472o r
r1172579.fit  3.87  1.28 0.089   112.9 from 407 sources of intphas_2472o i
r1172580.fit  4.22  1.39 0.079    53.2 from 164 sources of intphas_2473 Ha
r1172581.fit  4.50  1.49 0.102   126.6 from 306 sources of intphas_2473 r
r1172582.fit  4.05  1.34 0.094   115.8 from 308 sources of intphas_2473 i
r1172583.fit  3.91  1.29 0.101    54.7 from 171 sources of intphas_2473o Ha
r1172584.fit  4.08  1.35 0.092   125.8 from 371 sources of intphas_2473o r
r1172585.fit  3.67  1.21 0.088   127.3 from 340 sources of intphas_2473o i
r1172586.fit  3.86  1.27 0.088    56.1 from 232 sources of intphas_2475 Ha
r1172587.fit  4.10  1.35 0.069   125.3 from 512 sources of intphas_2475 r
r1172588.fit  4.13  1.36 0.078   117.6 from 382 sources of intphas_2475 i
r1172589.fit  3.78  1.25 0.098    50.1 from 233 sources of intphas_2475o Ha
r1172590.fit  3.85  1.27 0.081   123.1 from 528 sources of intphas_2475o r
r1172591.fit  3.68  1.21 0.096    99.4 from 477 sources of intphas_2475o i
r1172592.fit  4.00  1.32 0.096    49.1 from 238 sources of intphas_2477 Ha
r1172593.fit  3.62  1.19 0.096   122.9 from 684 sources of intphas_2477 r
r1172594.fit  3.33  1.10 0.101   114.2 from 536 sources of intphas_2477 i
r1172595.fit  4.18  1.38 0.125    48.2 from 168 sources of intphas_2477o Ha
r1172596.fit  3.53  1.16 0.111   121.0 from 637 sources of intphas_2477o r
r1172597.fit  3.48  1.15 0.073   113.9 from 505 sources of intphas_2477o i
r1172598.fit  3.72  1.23 0.101    86.0 from 205 sources of intphas_2180 Ha
r1172599.fit  3.89  1.28 0.093   160.7 from 560 sources of intphas_2180 r
r1172600.fit  3.30  1.09 0.094   140.9 from 522 sources of intphas_2180 i
r1172601.fit  4.88  1.61 0.070   132.2 from 538 sources of uvex_3872 r
r1172602.fit  5.64  1.86 0.118    64.6 from 104 sources of uvex_3872 U
r1172603.fit  5.31  1.75 0.078    67.3 from 367 sources of uvex_3872 g
